Utterance,Sentiment
真巧,neutral
车没事了,neutral
是你呀 没事了没事 谢谢你,neutral
没事没事 你也去春风,neutral
对,neutral
你孩子也在这上学,neutral
对呀,neutral
真巧 我儿子也在这,neutral
你孩子几年级,neutral
高三了,neutral
哪个班,neutral
三班啊,neutral
我儿子也三班,neutral
我儿子叫方一凡,neutral
你孩子叫什么,neutral
我儿子叫季杨杨,neutral
季杨杨，好像我听凡凡说过,neutral
对,neutral
是不是每次开家长会来的都是他爸爸,neutral
那是他舅舅,neutral
我说呢这么年轻,neutral
妈,positive
你不要叫我妈,negative
我不是你妈,negative
妈，我错了,negative
你没错,negative
我错了,negative
我为什么要生你,negative
我吃饱了撑的我就不该生你,negative
方一凡我真的不明白你脑子里面天天在想什么,negative
你是不是真的不知道现在高几了,negative
你不知道我告诉你,negative
你现在高三了,negative
不再是高一高二了,negative
你说,negative
你说你 天天天天,negative
学习不灵，打架门清，一个暑假我给你报个补习班,negative
原指望你好好学习能上去,negative
结果断崖式的下滑,negative
你对得起我吗,negative
妈妈高三那年妈妈怎么跟你讲的吗,negative
数学92,negative
化学91,negative
除了英语一般般,negative
其他都特别棒,negative
你为什么一点不随妈妈,negative
凡凡,negative
我随我爸爸,negative
你也没随你爸,negative
你爸也是学霸,negative
当年成绩也很好,negative
这两年才堕落的,negative
才玩物丧志的,negative
还给你搞什么乌龟,negative
烤鸭其实我给你一点你知道吧,neutral
一会你就多吃点,neutral
你把那一只烤鸭都吃了,neutral
然后再多喝点鸭汤,neutral
败败火,neutral
然后咱不是说好还得去趟超市吗,neutral
方一凡你什么都能记住,negative
又是超市又是烤鸭,negative
你就是不记住你的学习上的事,negative
是不是,negative
妈其实我都帮你记着,negative
不是你说的吗,negative
说你的学霸弟弟要来了,negative
你得好好照顾他,negative
不能让他在学校被欺负了,negative
咱们正好要去超市给他买点什么生活用品什么的,negative
别来了没有,neutral
我都帮你记得了,neutral
别生气了,neutral
凡凡，磊磊来了,neutral
你真的要懂事一些,neutral
磊磊妈妈走了,negative
他爸爸对他不怎么样也不上心,negative
摊上那么个后妈,negative
磊磊来了你要跟他好好相处,neutral
要好好向他学习,neutral
